 E_LAB, k_cm, exp_val, sigma, rxn_type, observable
 0.57249771E+02,        0.83051902E+00,       -0.37075630E+02,        0.26474431E+00, NP  , SGTT
 0.19094283E+03,        0.15167514E+01,       -0.12183712E+01,        0.13580664E+00, NP  , SGTT
 0.31132361E+03,        0.19367286E+01,        0.42068739E+01,        0.18931927E+00, NP  , SGTT
 0.19902995E+03,        0.15485383E+01,       -0.62999976E+00,        0.13998668E+00, NP  , SGTT
 0.30702689E+03,        0.19233173E+01,        0.40997472E+01,        0.18773365E+00, NP  , SGTT
 0.48599880E+02,        0.76520944E+00,       -0.45993309E+02,        0.29146513E+00, NP  , SGTT
 0.21792648E+03,        0.16203831E+01,        0.57088763E+00,        0.15083936E+00, NP  , SGTT
 0.19813048E+03,        0.15450352E+01,       -0.69301546E+00,        0.13949811E+00, NP  , SGTT
 0.18234198E+02,        0.46871197E+00,       -0.11468806E+03,        0.48737583E+00, NP  , SGTT
 0.57653189E+01,        0.26355690E+00,       -0.53824200E+02,        0.80754483E+00, NP  , SGTT
 0.99528694E+02,        0.10950574E+01,       -0.14981387E+02,        0.17963772E+00, NP  , SGTT
 0.28828607E+03,        0.18636938E+01,        0.35762062E+01,        0.18144745E+00, NP  , SGTT
