t_lab,observable,error
63.42033338,125.31538108,.09697561
43.01049005,201.09258202,.13854956
46.09582770,184.81900823,.13177137
52.11676895,159.06902411,.11874337
71.32920533,108.95948058,.08476367
32.23934718,283.88653574,.16049871
40.41837103,216.83053979,.14417457
33.79760272,268.55120575,.15763016
13.30082484,729.76900665,.22527587
66.74988201,117.86641868,.09151285
56.66875422,143.61642966,.10943677
70.93231631,109.67695233,.08531397
24.24647425,392.94407761,.17345721
27.25617822,344.60134232,.16878393
8.75885511,1061.99287804,.33608940
39.04101170,226.09385261,.14710602
74.39116895,103.73400550,.08073284
70.52585705,110.42183452,.08588428
59.40350259,135.62178478,.10417649
56.32464134,144.68574006,.11011762
3.40942963,2125.09058205,.76893363
67.45520544,116.39994246,.09041581
68.38744093,114.51693506,.08899814
35.45270298,253.75616766,.15444073
15.66189370,622.39832557,.20147602
44.56323506,192.59870435,.13514187
.17695496,10230.41141576,2.37919545
57.21291774,141.95550026,.10836847
35.95990044,249.50034086,.15343632
74.84550212,103.00276222,.08016645
38.15237391,232.44236613,.14896777
11.40388236,842.33519242,.25769013
66.86348396,117.62773129,.09133473
43.91698397,196.05542041,.13656198
21.24775820,453.84982129,.17888941
19.90418157,486.59535679,.18212374
37.28728885,238.92528836,.15075383
57.02628275,142.52106579,.10873370
67.73309134,115.83216448,.08998938
3.43738787,2114.01821016,.76473423
13.95093312,697.13405648,.21724397
30.32222675,304.91729096,.16383849
.42714715,6686.40425717,1.68955853
11.53559686,833.54345941,.25492310
15.53064627,627.62834846,.20245691
44.23829507,194.32316630,.13585614
12.67669905,763.71860654,.23432072
3.44558574,2110.79503109,.76350951
29.23049657,318.11360233,.16564918
38.83921061,227.50893742,.14753103
49.78357856,168.23089654,.12372401
4.43251668,1785.91810969,.63524680
15.40090294,632.87405262,.20345943
2.45660673,2598.57597393,.93635430
16.63821655,585.75489413,.19512187
.58183040,5692.82425110,1.55856873
3.52355809,2080.65638003,.75200826
48.08982250,175.50266369,.12740132
26.16791110,360.85372760,.17046367
55.07431152,148.69978303,.11262476
11.28440228,850.45440507,.26027708
53.68365322,153.41479782,.11547096
57.44577139,141.25578657,.10791452
14.41592129,675.32697807,.21225771
.84475524,4676.40941038,1.41295276
60.05786267,133.83304981,.10295947
25.26149822,375.41338025,.17186152
.46588876,6392.89327258,1.65057164
45.39902726,188.28550943,.13330362
46.49279234,182.89463868,.13089918
14.43508148,674.45405681,.21206462
4.79145290,1691.76334442,.59656646
74.82616937,103.03365748,.08019039
18.58344122,522.94290809,.18624570
20.11427848,481.21217074,.18156506
3.79250464,1983.35961224,.71428931
59.34167925,135.79314814,.10429233
27.39041828,342.68288864,.16857520
27.56791324,340.17402767,.16829845
41.63204320,209.20262961,.14155477
72.52549687,106.85417461,.08314396
40.51740524,216.19000223,.14396195
39.33682624,224.04696077,.14648080
15.77570467,617.92415069,.20065162
48.04375987,175.70832935,.12750187
73.94180625,104.46803588,.08130096
71.89660300,107.95036986,.08398818
65.76077414,119.98613867,.09308679
14.36267795,677.76310283,.21279924
48.27797651,174.66705348,.12699086
34.61742348,261.04286041,.15606783
58.34543878,138.61255486,.10617904
16.85915078,577.97877879,.19388862
62.06709412,128.61369631,.09932850
62.99401749,126.33652617,.09770868
23.44441168,407.80814681,.17477006
31.84975955,287.95608301,.16119443
5.13523116,1610.44449871,.56277162
30.85387166,298.82486048,.16293329
26.93555480,349.25816171,.16928072
7.09024333,1262.46483721,.41693939
